Source.Name,Country,County,Basin,GOM,DrillFor,Location,State/Province,Trajectory,Year,Month,US_PublishDate,Rig Count Value
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Horizontal,2026,2,2026-02-06,6
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Horizontal,2026,2,2026-02-06,11
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,FOOTHILLS FRONT,Other,No,Oil,Land,ALBERTA,Horizontal,2026,2,2026-02-06,21
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Horizontal,2026,2,2026-02-06,36
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHWESTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Horizontal,2026,2,2026-02-06,11
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,SOUTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Horizontal,2026,2,2026-02-06,4
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Horizontal,2026,2,2026-02-13,5
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Horizontal,2026,2,2026-02-13,10
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,FOOTHILLS FRONT,Other,No,Oil,Land,ALBERTA,Horizontal,2026,2,2026-02-13,22
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Horizontal,2026,2,2026-02-13,38
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHWESTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Horizontal,2026,2,2026-02-13,12
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,SOUTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Horizontal,2026,2,2026-02-13,4
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Horizontal,2026,2,2026-02-20,4
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Horizontal,2026,2,2026-02-20,11
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,FOOTHILLS FRONT,Other,No,Oil,Land,ALBERTA,Horizontal,2026,2,2026-02-20,21
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Horizontal,2026,2,2026-02-20,37
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHWESTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Horizontal,2026,2,2026-02-20,10
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,SOUTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Horizontal,2026,2,2026-02-20,4
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2024,1,2024-01-19,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2024,2,2024-02-16,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2024,2,2024-02-23,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2024,3,2024-03-01,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2024,3,2024-03-08,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2024,3,2024-03-15,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,1,2025-01-10,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,1,2025-01-17,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,1,2025-01-24,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,1,2025-01-31,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,2,2025-02-07,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,2,2025-02-14,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,2,2025-02-21,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,2,2025-02-28,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,3,2025-03-07,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,3,2025-03-14,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,3,2025-03-21,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,3,2025-03-28,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,FOOTHILLS FRONT,Other,No,Oil,Land,ALBERTA,Directional,2024,11,2024-11-22,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,FOOTHILLS FRONT,Other,No,Oil,Land,ALBERTA,Directional,2024,11,2024-11-27,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Directional,2025,1,2025-01-10,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Directional,2025,1,2025-01-17,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Directional,2025,1,2025-01-24,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Directional,2025,1,2025-01-31,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Directional,2025,2,2025-02-07,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Directional,2025,2,2025-02-14,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Directional,2025,2,2025-02-21,3
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2024,3,2024-03-28,5
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,FOOTHILLS FRONT,Other,No,Oil,Land,ALBERTA,Directional,2024,8,2024-08-09,5
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,FOOTHILLS FRONT,Other,No,Oil,Land,ALBERTA,Directional,2024,8,2024-08-30,5
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,FOOTHILLS FRONT,Other,No,Oil,Land,ALBERTA,Directional,2024,10,2024-10-04,5
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,FOOTHILLS FRONT,Other,No,Oil,Land,ALBERTA,Directional,2024,10,2024-10-11,5
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,FOOTHILLS FRONT,Other,No,Oil,Land,ALBERTA,Directional,2024,10,2024-10-18,5
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,FOOTHILLS FRONT,Other,No,Oil,Land,ALBERTA,Directional,2024,10,2024-10-25,5
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,1,2025-01-10,5
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,1,2025-01-17,5
